127.0.0.1 - - [24/Aug/2016:14:52:04 +0800] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:06 +0800] "GET /essentials/rest/project/ping HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:06 +0800] "GET /essentials HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:08 +0800] "GET /essentials/ HTTP/1.1" 200 6514
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:10 +0800] "GET /essentials/rest/plugins/modules HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:11 +0800] "GET /essentials/feature/documentWizardPlugin/documentWizardPlugin.js?_=1472021529072 HTTP/1.1" 200 4090
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:11 +0800] "GET /essentials/feature/relatedDocumentsPlugin/relatedDocumentsPlugin.js?_=1472021529073 HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:11 +0800] "GET /essentials/tool/beanwriter/beanwriter.js?_=1472021529074 HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:11 +0800] "GET /essentials/tool/galleryPlugin/galleryPlugin.js?_=1472021529075 HTTP/1.1" 200 13713
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:11 +0800] "GET /essentials/feature/contentBlocks/contentBlocks.js?_=1472021529076 HTTP/1.1" 200 6508
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:11 +0800] "GET /essentials/feature/taggingPlugin/taggingPlugin.js?_=1472021529077 HTTP/1.1" 200 3344
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:11 +0800] "GET /essentials/feature/taxonomyPlugin/taxonomyPlugin.js?_=1472021529078 HTTP/1.1" 200 5505
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:11 +0800] "GET /essentials/tool/selectionPlugin/selectionPlugin.js?_=1472021529079 HTTP/1.1" 200 7914
0:0:0:0:0:0:0:1 - - [24/Aug/2016:14:52:11 +0800] "GET /essentials/tool/restServices/restServices.js?_=1472021529080 HTTP/1.1" 200 4749
